Total Time,Init Time,Write to crypto stream,
2576937,2504334,32637,
4279071,4162818,55948,
28923629,28657562,104997,
4522529,4391938,61860,
4013766,3893772,53857,
4740713,4606324,60393,
4512387,4402293,52329,
8022414,7827639,134345,
4562472,4428412,62794,
4787525,4670757,59385,
4664731,4535245,61214,
30322387,30063257,121073,
4804396,4663143,73471,
2356119,2289748,30030,
2272889,2209054,28981,
4816545,4694418,52616,
6545710,6386535,79645,
7409830,7280206,55260,
6201654,6013722,105463,
2654166,2578233,31399,
2510178,2445996,27578,
3750004,3643087,46406,
2827213,2743760,42169,
2458917,2387917,34108,
2715403,2638240,38144,
2923211,2850114,28604,
2333383,2265642,28327,
2986979,2915171,29788,
2576434,2509167,31835,
7491382,7417368,30196,
2395021,2324597,31781,
3772648,3704239,31668,
4767896,4574441,54352,
5914890,5743388,61413,
3597710,3520504,34448,
2384129,2318038,31763,
3224184,3119796,66202,
4844789,4703369,50678,
4394991,4260579,50371,
2457920,2389354,31322,
5187350,5082913,51688,
2962842,2886029,34578,
2364633,2296362,31355,
2436566,2368844,31235,
2668667,2599054,32502,
3066292,2982039,36430,
3647630,3560271,36623,
2478484,2412992,30012,
2975446,2901064,36339,
3794430,3691333,48648,
4012673,3935160,36373,
2632033,2552289,36522,
3761752,3507676,207452,
3223332,3140619,39355,
3972126,3897279,36018,
2389013,2322314,30096,
2739734,2668566,35818,
9783349,9699126,41109,
5091813,4760290,292207,
2377516,2311847,31976,
2360977,2293090,29892,
2463733,2399596,29200,
2532895,2460279,33709,
2325644,2259122,30444,
2621206,2554998,30579,
4503546,4373283,55698,
4896619,4775223,49211,
5476891,5331120,58737,
2921610,2845160,32995,
3326600,3245206,35825,
2463235,2391611,30479,
3192538,3117663,35049,
3577832,3476616,45644,
5368898,5235791,60848,
3732854,3624254,59304,
3016872,2932671,45646,
3407838,3340596,29473,
4462266,4340702,52796,
2864429,2788918,33413,
2716064,2635415,35463,
3305959,3223449,37348,
4964578,4795459,56665,
3287673,3213440,32661,
4281010,4160069,54514,
12076168,11959199,52433,
2514644,2441036,37264,
2949483,2857926,46415,
3573198,3495287,33831,
2433429,2367737,29126,
3434632,3347269,40560,
2687855,2612925,34966,
2664549,2595938,31546,
3303732,3220834,38274,
3520459,3427080,48945,
3403253,3319165,40645,
2744845,2669739,34378,
7480828,7316172,69187,
4104155,3981228,52092,
4160757,4074472,38964,
4515120,4401516,51702,
2430448,2356331,35385,
2337068,2268870,30641,
2827342,2737263,43942,
2413677,2342345,30303,
3740128,3643739,43680,
2822759,2752910,28381,
2253231,2188976,28909,
2481104,2416226,28110,
3704314,3588536,38839,
5426443,5320057,31620,
2566969,2485640,38520,
2826320,2753020,34757,
4353697,4224609,52329,
4609021,4483148,51833,
5433381,5303653,50686,
4260844,4134783,51052,
2742639,2663776,38172,
2330470,2264521,30006,
4736685,4614933,50009,
3522059,3392927,36110,
2690142,2614172,33662,
2950673,2879127,33313,
2417650,2353003,28590,
3051850,2971901,39623,
2205688,2140238,28770,
3865936,3718009,40344,
2513424,2435164,37980,
2792505,2713309,33514,
2812962,2742376,32565,
6460882,6364016,45040,
3590037,3512968,30677,
2415478,2347556,31193,
2529761,2453690,33277,
3204751,3106201,53283,
4026017,3911775,56495,
7267238,7025848,75163,
10884636,10769695,51199,
4060875,3940234,54179,
4609022,4484935,56712,
5971039,5834308,59040,
4200554,4069349,63416,
5716149,5585651,55309,
3849477,3736464,54364,
8680685,8496704,86326,
6994891,6876204,58313,
4311245,4187178,54336,
4374646,4245751,59629,
2275615,2208841,31839,
2513709,2449896,28663,
2437696,2372240,30531,
2517692,2443337,35542,
2748670,2673452,37069,
2456365,2387611,33171,
2199677,2131536,31290,
2527283,2454676,33738,
4141538,4036116,45962,
3257432,3161068,38940,
3570200,3479132,40212,
2347557,2273512,29346,
3704084,3604546,43244,
3986446,3814135,68642,
5966011,5815977,71237,
5378868,5246327,60682,
4058641,3943758,51202,
7318932,7243253,33823,
2739558,2670816,30948,
2299901,2233374,29027,
3087867,3003564,41325,
2649479,2565426,41784,
2329723,2259765,26392,
2350651,2284187,30423,
3420098,3328731,39520,
3484824,3387721,51373,
3093695,3011630,38181,
2257371,2193447,28339,
2351884,2284778,31466,
3566456,3461901,47724,
3332719,3246623,42984,
3984038,3888712,41541,
3982745,3863450,51640,
2469640,2407326,27175,
3236570,3147259,47254,
2277827,2210089,29981,
4496419,4372922,53603,
3187293,3109114,33404,
2489482,2416248,37126,
2381509,2313637,31896,
2578876,2514408,28379,
2346958,2277537,30782,
2684117,2616745,29074,
2576818,2507828,31880,
6080320,6011026,28029,
3307931,3222905,36977,
3788021,3685975,45508,
5574244,5431441,57745,
4201175,4110355,42279,
3162358,3085728,33676,
4395148,4269783,57992,
5278210,5124759,64090,
